generated_at,epoch,d_loss,g_loss_total,g_adv_raw,surrogate_cm_raw,surrogate_cl_raw,surrogate_raw,trailing_edge_crossing_raw,g_adv_weighted,surrogate_weighted,real_score,fake_score,grad_norm,w_adv,w_surrogate
2026-07-26T18:56:12+08:00,0,0.10088235807917541,0.7582455059888972,0.7547472471927094,0.0,0.0,0.0,0.0034982571465177093,0.7547472471927094,0.0,-0.6867358749712353,-0.7501464918978208,0.9557375947286487,1.0,0.0
2026-07-26T18:56:22+08:00,1,-0.12137156401056116,1.7659359502150873,1.7644327577810472,0.0,0.0,0.0,0.0015031907169135571,1.7644327577810472,0.0,-1.6326326760551628,-1.7569137401618844,1.0108720565424603,1.0,0.0
2026-07-26T18:56:32+08:00,2,-0.12273165326591504,1.8629772285353086,1.8618476577938405,0.0,0.0,0.0,0.0011295697321788106,1.8618476577938405,0.0,-1.7266320079891893,-1.852897959180986,1.0110352987484823,1.0,0.0
2026-07-26T18:56:44+08:00,3,-0.1218492186564213,1.5212138691646993,1.520297683051527,0.0,0.0,0.0,0.0009161841471145383,1.520297683051527,0.0,-1.3845197730739476,-1.5102158209619114,1.0110368142099466,1.0,0.0
2026-07-26T18:56:55+08:00,4,-0.1187252265476396,1.3320147943069047,1.3311499521158559,0.0,0.0,0.0,0.0008648431558644787,1.3311499521158559,0.0,-1.1986066954561387,-1.3208674960811497,1.0108870226863849,1.0,0.0
2026-07-26T18:57:06+08:00,5,-0.1151793043566487,1.1529087370821178,1.1520972689349198,0.0,0.0,0.0,0.0008114709635537069,1.1520972689349198,0.0,-1.0238906463918278,-1.1422950157139855,1.0106347039832193,1.0,0.0
2026-07-26T18:57:17+08:00,6,-0.10940809829804976,0.8197943858679813,0.819029379407743,0.0,0.0,0.0,0.0007650057280036269,0.819029379407743,0.0,-0.6982023291371517,-0.8103883406843764,1.0104025107319072,1.0,0.0
2026-07-26T18:57:29+08:00,7,-0.10408033506902063,0.6147344324888135,0.6139598388130176,0.0,0.0,0.0,0.0007745932837723005,0.6139598388130176,0.0,-0.4983268276317526,-0.6046944112477013,1.0101324801490172,1.0,0.0
2026-07-26T18:57:40+08:00,8,-0.10180576933976838,0.48502277038289826,0.4843240755600423,0.0,0.0,0.0,0.0006986944746480893,0.4843240755600423,0.0,-0.37255961035683766,-0.4763060068249227,1.0098989752092484,1.0,0.0
2026-07-26T18:57:52+08:00,9,-0.09999915650476547,0.2617931924561966,0.2611384495065418,0.0,0.0,0.0,0.000654743015471802,0.2611384495065418,0.0,-0.15170525157453207,-0.2533760816489085,1.0097323509001899,1.0,0.0
2026-07-26T18:58:04+08:00,10,-0.09858297411601244,-0.010077439597894831,-0.010720831034906899,0.0,0.0,0.0,0.0006433911448003583,-0.010720831034906899,0.0,0.11728464180002628,0.017294371670649636,1.0096038936796121,1.0,0.0
2026-07-26T18:58:16+08:00,11,-0.097628803595024,-0.16199813976650534,-0.16260887243278932,0.0,0.0,0.0,0.0006107325167990446,-0.16260887243278932,0.0,0.26659047792703733,0.16771112433144894,1.0094848043718938,1.0,0.0
2026-07-26T18:58:27+08:00,12,-0.09664394767028266,-0.19272473973036927,-0.19328322338555648,0.0,0.0,0.0,0.0005584837078355738,-0.19328322338555648,0.0,0.2936632800020894,0.19588453704486614,1.009368677260512,1.0,0.0
2026-07-26T18:58:39+08:00,13,-0.09613307081125788,-0.1910345901860243,-0.19155588239951335,0.0,0.0,0.0,0.0005212925502423354,-0.19155588239951335,0.0,0.2922747975116891,0.19506830196553268,1.009314611658142,1.0,0.0
2026-07-26T18:58:50+08:00,14,-0.09561702083324566,-0.2362153649525731,-0.23671536635668733,0.0,0.0,0.0,0.000500001799207456,-0.23671536635668733,0.0,0.33631553596901453,0.23971244419510787,1.0092943365707,1.0,0.0
2026-07-26T18:59:02+08:00,15,-0.09516058403140645,-0.4216584273696124,-0.42212067847383755,0.0,0.0,0.0,0.0004622513445282463,-0.42212067847383755,0.0,0.5214291522474375,0.42538061492137635,1.0092637918347256,1.0,0.0
2026-07-26T18:59:13+08:00,16,-0.09487359212007622,-0.6362605810789072,-0.6367093165626441,0.0,0.0,0.0,0.0004487351975000457,-0.6367093165626441,0.0,0.7373555377497155,0.6416568927102883,1.0092505576425155,1.0,0.0
2026-07-26T18:59:25+08:00,17,-0.09454082843410232,-0.6980352345157989,-0.6984495905482716,0.0,0.0,0.0,0.00041435571584058357,-0.6984495905482716,0.0,0.8000933797742172,0.7047601784036261,1.009216601922291,1.0,0.0
2026-07-26T18:59:36+08:00,18,-0.09410813087012511,-0.7369338347951037,-0.7373175216540806,0.0,0.0,0.0,0.0003836864597035353,-0.7373175216540806,0.0,0.8373411214304113,0.7424903561473487,1.00921897199432,1.0,0.0
2026-07-26T18:59:48+08:00,19,-0.09367952897869875,-0.7446736733029597,-0.7450510678180843,0.0,0.0,0.0,0.00037739479734908896,-0.7450510678180843,0.0,0.8425132261732164,0.7481402413973424,1.0092020152454244,1.0,0.0
2026-07-26T18:59:59+08:00,20,-0.09343854647690611,-0.7344849801918851,-0.7348150971759061,0.0,0.0,0.0,0.00033011735016502116,-0.7348150971759061,0.0,0.8324695498137508,0.738347327513091,1.0091989968317456,1.0,0.0
2026-07-26T19:00:10+08:00,21,-0.09342503111070377,-0.7099568691043397,-0.7102637412123972,0.0,0.0,0.0,0.00030687241383240446,-0.7102637412123972,0.0,0.8090800344052604,0.7149909273577354,1.0091890766993834,1.0,0.0
2026-07-26T19:00:22+08:00,22,-0.0931236826473938,-0.6845426960376346,-0.6848261291759787,0.0,0.0,0.0,0.00028343250273930013,-0.6848261291759787,0.0,0.7816932767421632,0.6879221151173411,1.0091755690864648,1.0,0.0
2026-07-26T19:00:33+08:00,23,-0.09295671446581305,-0.5918957254722692,-0.592154415332683,0.0,0.0,0.0,0.0002586903224351592,-0.592154415332683,0.0,0.6889902298317355,0.5953968350041067,1.0091893969183547,1.0,0.0
2026-07-26T19:00:44+08:00,24,-0.0924558141941979,-0.5028567159345153,-0.5030955626380105,0.0,0.0,0.0,0.00023884720389239235,-0.5030955626380105,0.0,0.597195202664863,0.5041273599741228,1.0091819251522585,1.0,0.0
2026-07-26T19:00:55+08:00,25,-0.09248920874382302,-0.5133393986877305,-0.5135791565003417,0.0,0.0,0.0,0.00023975758917783055,-0.5135791565003417,0.0,0.6088302773409565,0.5157521353330712,1.0091593177582425,1.0,0.0
2026-07-26T19:01:06+08:00,26,-0.09242121398575225,-0.42639206452309103,-0.42660974136516117,0.0,0.0,0.0,0.00021767772018750097,-0.42660974136516117,0.0,0.5198609655126855,0.42683457387824836,1.0091744838421746,1.0,0.0
2026-07-26T19:01:18+08:00,27,-0.09232282157196242,-0.45816140643060654,-0.45835873032453706,0.0,0.0,0.0,0.00019732414504179617,-0.45835873032453706,0.0,0.5525133222757522,0.45959706828072444,1.0091460135617736,1.0,0.0
2026-07-26T19:01:29+08:00,28,-0.0921868009795458,-0.40851249005673357,-0.40871732489321444,0.0,0.0,0.0,0.00020483450588832286,-0.40871732489321444,0.0,0.5041188314066808,0.41133912421710944,1.0091542693993387,1.0,0.0
2026-07-26T19:01:40+08:00,29,-0.0921591736714273,-0.39912303867896043,-0.3993178175703827,0.0,0.0,0.0,0.00019477881156120447,-0.3993178175703827,0.0,0.49373963079299193,0.4009871137136239,1.0091651631138499,1.0,0.0
2026-07-26T19:01:51+08:00,30,-0.09218228938186157,-0.3817706950710493,-0.38195586353763156,0.0,0.0,0.0,0.00018516841530079661,-0.38195586353763156,0.0,0.47685533873402586,0.38408740031962857,1.009147336154968,1.0,0.0
2026-07-26T19:02:03+08:00,31,-0.09208949032431824,-0.41681697895619546,-0.4169899861819719,0.0,0.0,0.0,0.00017300773751734297,-0.4169899861819719,0.0,0.5125639565653007,0.41988846065396684,1.009148000779442,1.0,0.0
2026-07-26T19:02:14+08:00,32,-0.09216730838505958,-0.3813907425789377,-0.3815543036991438,0.0,0.0,0.0,0.00016356121833063732,-0.3815543036991438,0.0,0.4768406261104054,0.3840882887419384,1.0091462789004964,1.0,0.0
2026-07-26T19:02:25+08:00,33,-0.0921033859561204,-0.40195308984306005,-0.4021241558195051,0.0,0.0,0.0,0.00017106672043181242,-0.4021241558195051,0.0,0.49558466277712004,0.40290040178883707,1.0091537613930517,1.0,0.0
2026-07-26T19:02:36+08:00,34,-0.09192550197570536,-0.32525346335719696,-0.3254089166809803,0.0,0.0,0.0,0.00015545317179070802,-0.3254089166809803,0.0,0.4200854877814101,0.32757098536756435,1.0091532181172167,1.0,0.0
2026-07-26T19:02:47+08:00,35,-0.09183967501251909,-0.2605948569106915,-0.26074569254155827,0.0,0.0,0.0,0.00015083567851078124,-0.26074569254155827,0.0,0.35420186191626407,0.2617875117927433,1.009146273492697,1.0,0.0
2026-07-26T19:02:59+08:00,36,-0.0919469537646143,-0.17070863811309298,-0.17085420055334388,0.0,0.0,0.0,0.00014556235414917818,-0.17085420055334388,0.0,0.2649014979426341,0.17236862260653754,1.009149650752485,1.0,0.0
2026-07-26T19:03:10+08:00,37,-0.09208712612064267,-0.1284693043952375,-0.12862380081022043,0.0,0.0,0.0,0.0001544965329473261,-0.12862380081022043,0.0,0.22096321177968323,0.1282878503374475,1.0091472420830312,1.0,0.0
2026-07-26T19:03:21+08:00,38,-0.09207921156126742,-0.01878090607141719,-0.01892196666484111,0.0,0.0,0.0,0.00014106051860293632,-0.01892196666484111,0.0,0.1134067930327357,0.020734544306276654,1.0091512578494053,1.0,0.0
2026-07-26T19:03:32+08:00,39,-0.09202156069197302,-0.02217262061052644,-0.02230525899209327,0.0,0.0,0.0,0.00013263842230557224,-0.02230525899209327,0.0,0.11527448301289439,0.0226609690315884,1.0091421047331448,1.0,0.0
2026-07-26T19:03:43+08:00,40,-0.09199694663672481,-0.02889640689006591,-0.029026299389636058,0.0,0.0,0.0,0.00012989252505127193,-0.029026299389636058,0.0,0.122204152018167,0.029637901123115422,1.009152886161538,1.0,0.0
2026-07-26T19:03:54+08:00,41,-0.0921334806655126,-0.012828117421297816,-0.012961028493879577,0.0,0.0,0.0,0.00013291113819762429,-0.012961028493879577,0.0,0.10702598522670738,0.014270092323359755,1.0091726686044087,1.0,0.0
2026-07-26T19:04:06+08:00,42,-0.09207226435170097,0.062499316952893263,0.062369121725132246,0.0,0.0,0.0,0.00013019525142483258,0.062369121725132246,0.0,0.03246265187976067,-0.06016894740598965,1.0091620801928511,1.0,0.0
2026-07-26T19:04:17+08:00,43,-0.09220066628904487,0.4196839627708198,0.41956177509775433,0.0,0.0,0.0,0.0001221876921256924,0.41956177509775433,0.0,-0.32537254813273,-0.4181541553359564,1.0091692313834177,1.0,0.0
2026-07-26T19:04:28+08:00,44,-0.0925232243825378,0.38203126967220563,0.3819101126293787,0.0,0.0,0.0,0.00012115650884348481,0.3819101126293787,0.0,-0.2881275652308882,-0.3812403661288982,1.0091760909093817,1.0,0.0
2026-07-26T19:04:39+08:00,45,-0.09270208716719362,0.3732021362124003,0.37306985292466766,0.0,0.0,0.0,0.000132283216544344,0.37306985292466766,0.0,-0.2791064360317359,-0.37239057780916646,1.009176207652477,1.0,0.0
2026-07-26T19:04:50+08:00,46,-0.09268180996083013,0.34480200030789426,0.34467467781495975,0.0,0.0,0.0,0.00012732249972572822,0.34467467781495975,0.0,-0.250136087497219,-0.34338475557662557,1.0091866828270948,1.0,0.0
2026-07-26T19:05:02+08:00,47,-0.09274689494404693,0.3024228997138762,0.30230147619863973,0.0,0.0,0.0,0.0001214229925095025,0.30230147619863973,0.0,-0.2079686602837093,-0.301286701499257,1.0091776572695281,1.0,0.0
2026-07-26T19:05:13+08:00,48,-0.0928790445791433,0.25519376651276743,0.2550576441157025,0.0,0.0,0.0,0.0001361223868164092,0.2550576441157025,0.0,-0.1610764610022353,-0.25451727358555626,1.009181511782459,1.0,0.0
2026-07-26T19:05:24+08:00,49,-0.09280380139411507,0.219335930878561,0.21920710906486607,0.0,0.0,0.0,0.00012882187767856163,0.21920710906486607,0.0,-0.12348746339453232,-0.2168603603438412,1.0091863100455027,1.0,0.0
