epoch,train_loss,train_mae,train_cm_mse,train_cl_mse,train_cd_mse,train_cm_mae,train_cl_mae,train_cd_mae,learning_rate,train_grad_norm_mean,train_grad_norm_max
1,0.891793429851532,0.0385437086224556,0.307591050863266,0.16543278098106384,0.3671517074108124,0.019807251170277596,0.09308048337697983,0.0027540058363229036,0.0014000000000000002,11.377135276794434,28.817554473876953
2,0.6422720551490784,0.03121504746377468,0.1563684642314911,0.10345319658517838,0.27785763144493103,0.014880594797432423,0.07635096460580826,0.0024161015171557665,0.0026000000000000003,7.449757099151611,14.80874252319336
3,0.6073445081710815,0.029909374192357063,0.13853618502616882,0.09572373330593109,0.2643738389015198,0.013926064595580101,0.07342390716075897,0.002366156317293644,0.0038000000000000004,10.91263484954834,25.630844116210938
4,0.5864198207855225,0.029653996229171753,0.1351909190416336,0.09462404251098633,0.25494274497032166,0.013768456876277924,0.07288634777069092,0.002315517980605364,0.005,6.629918575286865,13.179680824279785
5,0.5376420021057129,0.027834609150886536,0.11841332167387009,0.08437802642583847,0.23508094251155853,0.012773752212524414,0.06850990653038025,0.0022228341549634933,0.0038000000000000004,6.235559463500977,10.273025512695312
6,0.4551944136619568,0.024981483817100525,0.10014220327138901,0.06916246563196182,0.19934768974781036,0.011687023565173149,0.06123535707592964,0.0020258771255612373,0.0026000000000000003,5.517026901245117,13.738762855529785
7,0.3890549838542938,0.022517886012792587,0.08296468108892441,0.05722127482295036,0.17120349407196045,0.01050699781626463,0.05518743395805359,0.0018541801255196333,0.0014000000000000002,6.645021438598633,14.406510353088379
8,0.3094155788421631,0.019642675295472145,0.06437471508979797,0.04551092907786369,0.13634346425533295,0.009105323813855648,0.04819817468523979,0.0016230804612860084,0.0002,4.951808452606201,9.84443473815918
9,0.2793992757797241,0.018489835783839226,0.05743736773729324,0.04042326658964157,0.12341076135635376,0.008603617548942566,0.04534132033586502,0.0015330066671594977,0.0008,3.634730815887451,5.210624694824219
10,0.29443153738975525,0.019272074103355408,0.060812268406152725,0.04319131746888161,0.12984739243984222,0.008926868438720703,0.047298233956098557,0.0015783257549628615,0.0014000000000000002,5.362553119659424,10.862936973571777
11,0.31319448351860046,0.02016044221818447,0.06609345227479935,0.04619527608156204,0.13791021704673767,0.009410270489752293,0.04942607507109642,0.0016437703743577003,0.002,6.394771575927734,17.818960189819336
12,0.333426833152771,0.021068381145596504,0.07108769565820694,0.049750916659832,0.14659041166305542,0.009824159555137157,0.05167318508028984,0.0017112254863604903,0.0026000000000000003,7.114274978637695,12.66476821899414
13,0.32006314396858215,0.02056562341749668,0.06777951866388321,0.04755537584424019,0.1407640427350998,0.009605745784938335,0.05042914301156998,0.0016662855632603168,0.002,5.3319268226623535,8.42258071899414
14,0.2839728593826294,0.01907649263739586,0.05948410928249359,0.04145238175988197,0.1251607984304428,0.008941425010561943,0.04672948271036148,0.0015592774143442512,0.0014000000000000002,5.216334819793701,9.12771987915039
15,0.24505352973937988,0.017290323972702026,0.04971202835440636,0.034839872270822525,0.10843919962644577,0.008116709999740124,0.04232712462544441,0.0014292050618678331,0.0008,4.225010395050049,7.105265140533447
16,0.21056731045246124,0.015419362112879753,0.04088153317570686,0.02857610583305359,0.09369195252656937,0.007262918166816235,0.03768695890903473,0.0013119885697960854,0.0002,3.9387435913085938,5.530906677246094
17,0.19732555747032166,0.014745070599019527,0.03774832934141159,0.026132751256227493,0.08803156018257141,0.006965777836740017,0.03600084036588669,0.0012646577088162303,0.0005,3.946676015853882,7.662494659423828
18,0.20487616956233978,0.015328928828239441,0.03988140448927879,0.02775900810956955,0.09114743769168854,0.007210710551589727,0.037471953779459,0.0012983893975615501,0.0008,4.608797073364258,10.497842788696289
19,0.21758826076984406,0.01605120673775673,0.04305414482951164,0.029943160712718964,0.09664284437894821,0.007522042375057936,0.039282381534576416,0.00134526495821774,0.0011,5.210575103759766,12.399237632751465
20,0.22586847841739655,0.01654665730893612,0.04538276791572571,0.03158458322286606,0.10008799284696579,0.007769722491502762,0.04048503562808037,0.0013829596573486924,0.0014000000000000002,4.9647908210754395,8.145659446716309
21,0.21875469386577606,0.016303060576319695,0.044047191739082336,0.03070860728621483,0.09694653004407883,0.007638036739081144,0.03991670534014702,0.00135855155531317,0.0011,5.210585594177246,9.47891902923584
22,0.20035716891288757,0.015458628535270691,0.04031817615032196,0.027577025815844536,0.08885831385850906,0.007311342284083366,0.03778255358338356,0.0012871602084487677,0.0008,5.547643184661865,10.044010162353516
23,0.1813085377216339,0.014120747335255146,0.03399864211678505,0.02378961816430092,0.08100762963294983,0.006609046366065741,0.03452286869287491,0.0012200467754155397,0.0005,3.8306939601898193,6.42125129699707
24,0.16082806885242462,0.013039059937000275,0.02959141880273819,0.020647834986448288,0.07205461710691452,0.006116941105574369,0.0318605862557888,0.001139558618888259,0.0002,4.589443683624268,12.144899368286133
25,0.15414901077747345,0.012575091794133186,0.027774380519986153,0.01938893459737301,0.06921980530023575,0.005888238549232483,0.030721168965101242,0.0011120266281068325,0.00035000000000000005,4.8861260414123535,12.961854934692383
26,0.15891359746456146,0.012987527064979076,0.029072055593132973,0.020355813205242157,0.07111988216638565,0.006074205972254276,0.03174407780170441,0.0011328732362017035,0.0005,3.7308053970336914,7.397815704345703
27,0.16582496464252472,0.01330255251377821,0.0299406535923481,0.02109210379421711,0.07441502064466476,0.0061838505789637566,0.03254767879843712,0.0011671576648950577,0.0006500000000000001,5.315313339233398,16.439714431762695
28,0.16973580420017242,0.01369419228285551,0.031270094215869904,0.022374581545591354,0.07593472301959991,0.006338111124932766,0.03355659544467926,0.0011855483753606677,0.0008,3.7182834148406982,7.000500679016113
29,0.1653941571712494,0.01345321536064148,0.03080219402909279,0.021517736837267876,0.0739537701010704,0.006297817453742027,0.03288772329688072,0.001169595867395401,0.0006500000000000001,5.3629231452941895,13.269344329833984
30,0.15472601354122162,0.012814388610422611,0.027866873890161514,0.019811982288956642,0.06942550837993622,0.005947868339717388,0.03136712685227394,0.0011249100789427757,0.0005,5.310608863830566,13.217516899108887
31,0.14428706467151642,0.012196440249681473,0.02573344297707081,0.01823541522026062,0.06482650339603424,0.005674504209309816,0.02984054759144783,0.0010815743589773774,0.00035000000000000005,4.044371604919434,10.216054916381836
32,0.1341245323419571,0.011571839451789856,0.02329450286924839,0.01673668436706066,0.060407157987356186,0.0053404043428599834,0.02834845334291458,0.0010290317004546523,0.0002,3.595965623855591,5.685782432556152
33,0.12918415665626526,0.011398222297430038,0.02262851595878601,0.016174940392374992,0.05813365802168846,0.005277812946587801,0.02789955772459507,0.001015002140775323,0.000275,4.2281036376953125,8.444185256958008
