source,point_index,surface,x_physical_mean,y_physical_mean,y_physical_std,mean_d_score_d_x_normalized,mean_d_score_d_y_normalized,mean_sensitivity_normalized_l2,std_sensitivity_normalized_l2,mean_d_score_d_x_physical,mean_d_score_d_y_physical,norm_of_mean_physical_gradient_l2,mean_sensitivity_physical_l2,std_sensitivity_physical_l2,mean_critic_score,std_critic_score
real,0,upper,1.0,0.0018896000692620873,0.0018549382220953703,-5.468964809551835e-05,-0.024908248335123062,0.024925818666815758,0.008112928830087185,-5.468964809551835e-05,-0.08540897071361542,0.08540898561477661,0.0854140967130661,0.027855051681399345,-0.0722363144159317,0.032633960247039795
real,1,upper,0.9740055799484253,0.008079400286078453,0.001244784565642476,0.002958090975880623,3.915419711120194e-06,0.004963529296219349,0.0009745812858454883,0.002958090975880623,1.3425946235656738e-05,0.0029581214766949415,0.012621276080608368,0.005892737302929163,-0.0722363144159317,0.032633960247039795
real,2,upper,0.9480819702148438,0.01388580072671175,0.001429470838047564,-0.0013288037152960896,-0.0019585220143198967,0.009243031963706017,0.0035086413845419884,-0.0013288037152960896,-0.006715661380439997,0.00684586213901639,0.012061526998877525,0.004965750500559807,-0.0722363144159317,0.032633960247039795
real,3,upper,0.9222707748413086,0.019439201802015305,0.00183555216062814,-0.002569196978583932,-0.00872101541608572,0.009465950541198254,0.004180091433227062,-0.002569196978583932,-0.029903870075941086,0.030014032498002052,0.030139431357383728,0.013304070569574833,-0.0722363144159317,0.032633960247039795
real,4,upper,0.8966032266616821,0.024856001138687134,0.002408872824162245,-0.005123605951666832,-0.00759547483175993,0.009786693379282951,0.002236934145912528,-0.005123605951666832,-0.02604445442557335,0.026543643325567245,0.026966094970703125,0.009853193536400795,-0.0722363144159317,0.032633960247039795
real,5,upper,0.8710561990737915,0.030025601387023926,0.0030073444359004498,-0.006595370825380087,-0.0067438045516610146,0.009957798756659031,0.003409568453207612,-0.006595370825380087,-0.023124124854803085,0.024046290665864944,0.024363908916711807,0.005877753719687462,-0.0722363144159317,0.032633960247039795
real,6,upper,0.8456665873527527,0.03508320078253746,0.0037120806518942118,-0.012391704134643078,-0.007888720370829105,0.015030520968139172,0.0038991339970380068,-0.012391704134643078,-0.027049977332353592,0.029753245413303375,0.030199721455574036,0.0038909914437681437,-0.0722363144159317,0.032633960247039795
real,7,upper,0.8204296231269836,0.03996720165014267,0.004576120059937239,-0.013737553730607033,0.0007929030107334256,0.013798731379210949,0.005327078513801098,-0.013737553730607033,0.002718819770962,0.014004012569785118,0.014427190646529198,0.005354872904717922,-0.0722363144159317,0.032633960247039795
real,8,upper,0.7953500151634216,0.04469600319862366,0.005570093635469675,-0.017711877822875977,0.003043913748115301,0.018219495192170143,0.005487462505698204,-0.017711877822875977,0.01043740939348936,0.02055845595896244,0.021995127201080322,0.006093589123338461,-0.0722363144159317,0.032633960247039795
real,9,upper,0.7703869938850403,0.049009401351213455,0.006769971922039986,-0.01986212655901909,-0.0004839501343667507,0.020516512915492058,0.005473858676850796,-0.01986212655901909,-0.001659437664784491,0.019931327551603317,0.025682806968688965,0.002497580833733082,-0.0722363144159317,0.032633960247039795
