source,sample_index,dataset_index,point_index,surface,x_physical,y_physical,d_score_d_x_normalized,d_score_d_y_normalized,sensitivity_normalized_l2,d_score_d_x_physical,d_score_d_y_physical,sensitivity_physical_l2,critic_score
real,2,54670,0,upper,1.0,0.0,-0.0010452975984662771,-0.0140643659979105,0.014103157445788383,-0.0010452975984662771,-0.04822591692209244,0.04823724552989006,-0.0910978615283966
real,2,54670,1,upper,0.9741790294647217,0.006496999878436327,0.0013678688555955887,0.0059239910915493965,0.006079863291233778,0.0013678688555955887,0.02031303197145462,0.020359035581350327,-0.0910978615283966
real,2,54670,2,upper,0.948514997959137,0.012954000383615494,-0.010925646871328354,-0.0037621476221829653,0.01155523769557476,-0.010925646871328354,-0.01290019229054451,0.0169051680713892,-0.0910978615283966
real,2,54670,3,upper,0.9230110049247742,0.019370000809431076,-0.00729555357247591,-0.01027773693203926,0.012603848241269588,-0.00729555357247591,-0.03524177893996239,0.035989001393318176,-0.0910978615283966
real,2,54670,4,upper,0.8976489901542664,0.025654999539256096,-0.004471619613468647,-0.0063714091666042805,0.007783973123878241,-0.004471619613468647,-0.021847203373908997,0.022300127893686295,-0.0910978615283966
real,2,54670,5,upper,0.8722450137138367,0.031005000695586205,-0.01052919216454029,-0.0086022624745965,0.01359642669558525,-0.01052919216454029,-0.029496673494577408,0.03131960704922676,-0.0910978615283966
real,2,54670,6,upper,0.847009003162384,0.036320000886917114,-0.0180473905056715,-0.0066286856308579445,0.019226226955652237,-0.0180473905056715,-0.022729389369487762,0.029022980481386185,-0.0910978615283966
real,2,54670,7,upper,0.8219450116157532,0.04159799963235855,-0.018742607906460762,0.0024226796813309193,0.018898537382483482,-0.018742607906460762,0.008307232521474361,0.020501108840107918,-0.0910978615283966
real,2,54670,8,upper,0.7970370054244995,0.0467430017888546,-0.024472113698720932,0.004444919992238283,0.02487250789999962,-0.024472113698720932,0.015241379849612713,0.028830261901021004,-0.0910978615283966
real,2,54670,9,upper,0.7721670269966125,0.051134999841451645,-0.024891361594200134,0.00277549191378057,0.025045624002814293,-0.024891361594200134,0.009517005644738674,0.02664870023727417,-0.0910978615283966
real,2,54670,10,upper,0.7474790215492249,0.0554950013756752,-0.03319130837917328,0.005103338975459337,0.03358134999871254,-0.03319130837917328,0.017499061301350594,0.03752172738313675,-0.0910978615283966
real,2,54670,11,upper,0.7229750156402588,0.05982299894094467,-0.03133871406316757,0.005353739485144615,0.03179272636771202,-0.03133871406316757,0.018357671797275543,0.03631968051195145,-0.0910978615283966
real,2,54670,12,upper,0.6986500024795532,0.06405600160360336,-0.03985528275370598,0.007623634766787291,0.04057786613702774,-0.03985528275370598,0.026141013950109482,0.047663360834121704,-0.0910978615283966
real,2,54670,13,upper,0.6743580102920532,0.0672290027141571,-0.04752269759774208,0.0014795062597841024,0.047545719891786575,-0.04752269759774208,0.005073143634945154,0.0477927140891552,-0.0910978615283966
real,2,54670,14,upper,0.6502619981765747,0.07037600129842758,-0.048692647367715836,-0.0008404789259657264,0.04869990050792694,-0.048692647367715836,-0.00288195488974452,0.04877785965800285,-0.0910978615283966
real,2,54670,15,upper,0.6263669729232788,0.0734969973564148,-0.06488168984651566,-0.0003682258538901806,0.06488273292779922,-0.06488168984651566,-0.0012626256793737411,0.06489397585391998,-0.0910978615283966
real,2,54670,16,upper,0.6026750206947327,0.07659099996089935,-0.06533745676279068,0.005269058048725128,0.0655495747923851,-0.06533745676279068,0.01806730218231678,0.0677894577383995,-0.0910978615283966
real,2,54670,17,upper,0.5790879726409912,0.07868800312280655,-0.07104895263910294,-0.0012573737185448408,0.07106007635593414,-0.07104895263910294,-0.004311463795602322,0.07117965072393417,-0.0910978615283966
real,2,54670,18,upper,0.5557010173797607,0.08064299821853638,-0.07796259224414825,0.000536598265171051,0.07796443998813629,-0.07796259224414825,0.0018399652326479554,0.07798430323600769,-0.0910978615283966
real,2,54670,19,upper,0.5325319766998291,0.08258000016212463,-0.07959163933992386,0.0052269818261265755,0.07976309210062027,-0.07959163933992386,0.01792302541434765,0.08158470690250397,-0.0910978615283966
real,2,54670,20,upper,0.509585976600647,0.08449900150299072,-0.08824900537729263,0.005606021732091904,0.08842688798904419,-0.08824900537729263,0.01922273263335228,0.09031832963228226,-0.0910978615283966
real,2,54670,21,upper,0.48682901263237,0.08567699790000916,-0.1052144393324852,0.004981843754649162,0.10533231496810913,-0.1052144393324852,0.017082462087273598,0.10659216344356537,-0.0910978615283966
real,2,54670,22,upper,0.464275985956192,0.08632200211286545,-0.1088598221540451,0.009073516353964806,0.10923730581998825,-0.1088598221540451,0.03111257590353489,0.11321860551834106,-0.0910978615283966
real,2,54670,23,upper,0.4419640004634857,0.08696000277996063,-0.12077013403177261,0.004956471733748913,0.12087179720401764,-0.12077013403177261,0.016995461657643318,0.1219601184129715,-0.0910978615283966
real,2,54670,24,upper,0.41989800333976746,0.08759099990129471,-0.12836700677871704,0.01056545041501522,0.12880107760429382,-0.12836700677871704,0.03622833266854286,0.13338133692741394,-0.0910978615283966
real,2,54670,25,upper,0.3980860114097595,0.08809000253677368,-0.13847966492176056,0.009712058119475842,0.13881981372833252,-0.13847966492176056,0.033302098512649536,0.1424276977777481,-0.0910978615283966
real,2,54670,26,upper,0.3765389919281006,0.08730600029230118,-0.14619067311286926,-0.0029164599254727364,0.14621976017951965,-0.14619067311286926,-0.010000376962125301,0.1465323120355606,-0.0910978615283966
real,2,54670,27,upper,0.3552600145339966,0.08653099834918976,-0.1557704359292984,-0.004666002467274666,0.15584030747413635,-0.1557704359292984,-0.015999458730220795,0.15658995509147644,-0.0910978615283966
real,2,54670,28,upper,0.33425700664520264,0.08576700091362,-0.162923201918602,0.0024654935114085674,0.1629418581724167,-0.162923201918602,0.008454037830233574,0.1631423979997635,-0.0910978615283966
real,2,54670,29,upper,0.3135380148887634,0.0850130021572113,-0.16659168899059296,0.005696955602616072,0.16668906807899475,-0.16659168899059296,0.019534539431333542,0.1677330881357193,-0.0910978615283966
real,2,54670,30,upper,0.29315099120140076,0.08375699818134308,-0.17294514179229736,0.003704341594129801,0.17298480868339539,-0.17294514179229736,0.012701978906989098,0.17341096699237823,-0.0910978615283966
real,2,54670,31,upper,0.2731409966945648,0.08152800053358078,-0.18146748840808868,-0.00029006018303334713,0.18146772682666779,-0.18146748840808868,-0.000994600006379187,0.18147021532058716,-0.0910978615283966
real,2,54670,32,upper,0.25344499945640564,0.07933399826288223,-0.189119353890419,-0.0007996200583875179,0.1891210377216339,-0.189119353890419,-0.0027418520767241716,0.1891392171382904,-0.0910978615283966
real,2,54670,33,upper,0.23407399654388428,0.07717599719762802,-0.19508621096611023,0.0006346520967781544,0.1950872391462326,-0.19508621096611023,0.002176186302676797,0.19509835541248322,-0.0910978615283966
real,2,54670,34,upper,0.21504199504852295,0.07505600154399872,-0.1998385787010193,0.011199614964425564,0.20015215873718262,-0.1998385787010193,0.038402847945690155,0.203495055437088,-0.0910978615283966
real,2,54670,35,upper,0.19639700651168823,0.07274399697780609,-0.20478910207748413,0.01174124889075756,0.20512540638446808,-0.20478910207748413,0.04026008024811745,0.2087090164422989,-0.0910978615283966
real,2,54670,36,upper,0.17825600504875183,0.0695440024137497,-0.20503655076026917,0.00738400686532259,0.2051694691181183,-0.20503655076026917,0.02531934343278408,0.20659394562244415,-0.0910978615283966
real,2,54670,37,upper,0.16050000488758087,0.06641200184822083,-0.21059057116508484,0.000871764961630106,0.2105923742055893,-0.21059057116508484,0.0029892330057919025,0.21061179041862488,-0.0910978615283966
real,2,54670,38,upper,0.14322100579738617,0.06299799680709839,-0.2124393731355667,-0.009376988746225834,0.2126462161540985,-0.2124393731355667,-0.0321531668305397,0.21485882997512817,-0.0910978615283966
real,2,54670,39,upper,0.1264760047197342,0.059140000492334366,-0.2101849615573883,-0.015676572918891907,0.21076875925064087,-0.2101849615573883,-0.053754083812236786,0.21694980561733246,-0.0910978615283966
real,2,54670,40,upper,0.1101830005645752,0.055385999381542206,-0.20763623714447021,-0.014713005162775517,0.20815686881542206,-0.20763623714447021,-0.05045006424188614,0.21367736160755157,-0.0910978615283966
real,2,54670,41,upper,0.09451200067996979,0.05123800039291382,-0.21158109605312347,-0.01462788786739111,0.21208615601062775,-0.21158109605312347,-0.05015820264816284,0.21744517982006073,-0.0910978615283966
real,2,54670,42,upper,0.07960300147533417,0.04634200036525726,-0.2000986635684967,-0.011615836061537266,0.20043553411960602,-0.2000986635684967,-0.0398300476372242,0.2040242850780487,-0.0910978615283966
real,2,54670,43,upper,0.06524299830198288,0.04162599891424179,-0.1906609833240509,-0.00851136539131403,0.1908508688211441,-0.1906609833240509,-0.029184991493821144,0.1928817629814148,-0.0910978615283966
real,2,54670,44,upper,0.0514880008995533,0.037108998745679855,-0.18244552612304688,0.001889046747237444,0.18245530128479004,-0.18244552612304688,0.006477434653788805,0.18256047368049622,-0.0910978615283966
real,2,54670,45,upper,0.038857001811265945,0.0316459983587265,-0.16190703213214874,0.006544460542500019,0.16203923523426056,-0.16190703213214874,0.022440586239099503,0.1634547859430313,-0.0910978615283966
real,2,54670,46,upper,0.02701999992132187,0.026362000033259392,-0.1479562371969223,0.015400268137454987,0.14875556528568268,-0.1479562371969223,0.05280665308237076,0.15709738433361053,-0.0910978615283966
real,2,54670,47,upper,0.016749000176787376,0.020160000771284103,-0.11791432648897171,0.007799698039889336,0.11817200481891632,-0.11791432648897171,0.026744725182652473,0.12090934067964554,-0.0910978615283966
real,2,54670,48,upper,0.009115999564528465,0.01271199993789196,-0.08292627334594727,-0.009895065799355507,0.08351454138755798,-0.08292627334594727,-0.033929623663425446,0.08959902822971344,-0.0910978615283966
real,2,54670,49,upper,0.003702000016346574,0.005162999965250492,-0.04369085654616356,-0.03953973203897476,0.058926064521074295,-0.04369085654616356,-0.13557951152324677,0.1424454152584076,-0.0910978615283966
real,2,54670,50,leading_edge,0.0,0.0,0.0033894237130880356,0.004180251155048609,0.005381699651479721,0.0033894237130880356,0.014333846047520638,0.014729132875800133,-0.0910978615283966
