generated_at,epoch,train_loss,train_mae,train_cm_mse,train_cl_mse,train_cd_mse,train_cm_mae,train_cl_mae,train_cd_mae,learning_rate,train_grad_norm_mean,train_grad_norm_max
2026-07-26T13:17:28+08:00,1,0.7790802121162415,0.034138649702072144,0.25077754259109497,0.11898718774318695,0.3280017375946045,0.018041368573904037,0.08177096396684647,0.002596310107037425,0.0014000000000000002,10.599336624145508,23.307880401611328
2026-07-26T13:17:30+08:00,2,0.536709189414978,0.02720559760928154,0.1179521307349205,0.07184550911188126,0.23678681254386902,0.013050511479377747,0.0663505271077156,0.002213508589193225,0.0026000000000000003,9.585848808288574,17.942440032958984
2026-07-26T13:17:33+08:00,3,0.5090169906616211,0.0256489384919405,0.1029970794916153,0.06490030884742737,0.22648417949676514,0.012136928737163544,0.06265687197446823,0.0021523379255086184,0.0038000000000000004,8.576197624206543,21.550228118896484
2026-07-26T13:17:35+08:00,4,0.4825475215911865,0.02485235035419464,0.0946948379278183,0.06131095066666603,0.21528205275535583,0.011627117171883583,0.060834456235170364,0.002103861654177308,0.005,7.856131553649902,15.830900192260742
2026-07-26T13:17:38+08:00,5,0.4478217661380768,0.023699110373854637,0.08787459880113602,0.055609289556741714,0.19995690882205963,0.011172208935022354,0.057910554111003876,0.0020207033958286047,0.0038000000000000004,7.610044479370117,17.35887336730957
2026-07-26T13:17:40+08:00,6,0.35434141755104065,0.020425688475370407,0.06651436537504196,0.042429808527231216,0.15901531279087067,0.009639754891395569,0.04988200217485428,0.001758793368935585,0.0026000000000000003,5.716033458709717,14.361380577087402
2026-07-26T13:17:43+08:00,7,0.2958378195762634,0.01781141757965088,0.05218295380473137,0.03336239606142044,0.1336592733860016,0.008411037735641003,0.04343176633119583,0.0015901136212050915,0.0014000000000000002,4.9838972091674805,12.028286933898926
2026-07-26T13:17:45+08:00,8,0.23730124533176422,0.015022199600934982,0.03899511694908142,0.025000475347042084,0.10798604786396027,0.007085535209625959,0.036595072597265244,0.0013908606488257647,0.0002,3.930447578430176,7.181396484375
2026-07-26T13:17:47+08:00,9,0.21051271259784698,0.013948817737400532,0.03386039286851883,0.021693682298064232,0.09595727175474167,0.006557728163897991,0.03398244455456734,0.0012954209232702851,0.0008,3.9474380016326904,6.314520359039307
2026-07-26T13:17:50+08:00,10,0.2251933068037033,0.014825819991528988,0.03722250461578369,0.02384600043296814,0.10243570804595947,0.00698480661958456,0.03613952547311783,0.0013575723860412836,0.0014000000000000002,4.4894514083862305,7.124603271484375
2026-07-26T13:17:52+08:00,11,0.24086983501911163,0.015919361263513565,0.04170897975564003,0.026722826063632965,0.10904107987880707,0.007488168776035309,0.03885425999760628,0.0014121554559096694,0.002,5.029158592224121,10.402423858642578
2026-07-26T13:17:55+08:00,12,0.25192737579345703,0.016564099118113518,0.04356471076607704,0.028540395200252533,0.1139289140701294,0.007689100690186024,0.04054521024227142,0.0014627299970015883,0.0026000000000000003,6.289827823638916,16.02522087097168
2026-07-26T13:17:57+08:00,13,0.24516256153583527,0.016196124255657196,0.042396992444992065,0.02723613567650318,0.11100903898477554,0.007615968119353056,0.03954438120126724,0.001430200645700097,0.002,4.165628433227539,9.339723587036133
2026-07-26T13:18:00+08:00,14,0.214121475815773,0.014724958688020706,0.035506535321474075,0.023004470393061638,0.0973280742764473,0.006898406893014908,0.03596256673336029,0.001321459305472672,0.0014000000000000002,4.968209743499756,11.902761459350586
2026-07-26T13:18:02+08:00,15,0.18344075977802277,0.013242203742265701,0.02960251457989216,0.01904980093240738,0.08362952619791031,0.006230535451322794,0.032297853380441666,0.0011978312395513058,0.0008,3.9477293491363525,9.105525016784668
2026-07-26T13:18:04+08:00,16,0.15521419048309326,0.011469455435872078,0.02360079064965248,0.014917271211743355,0.07120513916015625,0.005450238939374685,0.02788921631872654,0.0010743769817054272,0.0002,3.645977735519409,8.752714157104492
2026-07-26T13:18:07+08:00,17,0.14572708308696747,0.010900460183620453,0.021423179656267166,0.013513303361833096,0.06704211235046387,0.005153781734406948,0.026513295248150826,0.0010343414032831788,0.0005,4.331923484802246,19.452220916748047
2026-07-26T13:18:09+08:00,18,0.15331754088401794,0.01151291560381651,0.023062381893396378,0.014733919873833656,0.0703696608543396,0.0054191467352211475,0.02804463542997837,0.00107573124114424,0.0008,3.4479715824127197,5.812266826629639
2026-07-26T13:18:12+08:00,19,0.16029782593250275,0.01204746775329113,0.024632582440972328,0.015912074595689774,0.07339984178543091,0.005646131467074156,0.02937522530555725,0.0011124294251203537,0.0011,4.758120536804199,12.152637481689453
2026-07-26T13:18:14+08:00,20,0.16687339544296265,0.012673267163336277,0.026597052812576294,0.017133906483650208,0.07616518437862396,0.005928768310695887,0.030947832390666008,0.0011451117461547256,0.0014000000000000002,4.293367862701416,11.242508888244629
2026-07-26T13:18:17+08:00,21,0.16674187779426575,0.012541169300675392,0.02655681036412716,0.01698264852166176,0.07611765712499619,0.005921822972595692,0.03055775910615921,0.0011462396942079067,0.0011,3.9257307052612305,10.307886123657227
2026-07-26T13:18:19+08:00,22,0.14715272188186646,0.011577019467949867,0.023093627765774727,0.014667254872620106,0.06730242818593979,0.0054738325998187065,0.02820494771003723,0.001054811174981296,0.0008,3.895280122756958,7.097037315368652
2026-07-26T13:18:22+08:00,23,0.13359051942825317,0.010629195719957352,0.020217211917042732,0.012680325657129288,0.06132882460951805,0.005048417951911688,0.02585495635867119,0.0009867199696600437,0.0005,3.4007649421691895,11.680861473083496
2026-07-26T13:18:24+08:00,24,0.11828351020812988,0.009750396944582462,0.017391953617334366,0.01091497577726841,0.0544402152299881,0.004612714983522892,0.023729193955659866,0.0009086242062039673,0.0002,2.7678701877593994,10.076089859008789
2026-07-26T13:18:26+08:00,25,0.11325952410697937,0.009510848671197891,0.016527308151125908,0.010445366613566875,0.05214264243841171,0.004484361968934536,0.023164816200733185,0.0008813875610940158,0.00035000000000000005,3.50502610206604,7.47074556350708
2026-07-26T13:18:29+08:00,26,0.1166871190071106,0.009824813343584538,0.017257466912269592,0.010957914404571056,0.053648144006729126,0.004621290601789951,0.02394130267202854,0.0009082384640350938,0.0005,3.610976457595825,10.002349853515625
2026-07-26T13:18:31+08:00,27,0.12137799710035324,0.010152480565011501,0.018031923100352287,0.011537345126271248,0.05576644465327263,0.004745859652757645,0.024777133017778397,0.0009356124792248011,0.0006500000000000001,4.075815677642822,12.179454803466797
2026-07-26T13:18:34+08:00,28,0.1265566647052765,0.010354548692703247,0.01870015077292919,0.011939620599150658,0.05817854776978493,0.004867181647568941,0.025239361450076103,0.0009614383452571929,0.0008,4.168172359466553,9.073774337768555
2026-07-26T13:18:36+08:00,29,0.12380770593881607,0.010373476892709732,0.018602579832077026,0.011999465525150299,0.05680599808692932,0.004864037968218327,0.025306368246674538,0.0009541417239233851,0.0006500000000000001,3.3415353298187256,9.295026779174805
2026-07-26T13:18:39+08:00,30,0.11681686341762543,0.009883850812911987,0.017177868634462357,0.01109557319432497,0.053608618676662445,0.004634127952158451,0.024101603776216507,0.0009104986093007028,0.0005,3.076089382171631,6.880819320678711
2026-07-26T13:18:41+08:00,31,0.10792339593172073,0.009321772493422031,0.015574011951684952,0.010007580742239952,0.049709856510162354,0.004368957132101059,0.022732313722372055,0.0008675223798491061,0.00035000000000000005,3.1863901615142822,7.028310298919678
2026-07-26T13:18:44+08:00,32,0.09972894191741943,0.008918672800064087,0.01436448935419321,0.009291412308812141,0.0459362231194973,0.004162450786679983,0.021777022629976273,0.0008191821980290115,0.0002,3.496500253677368,14.925859451293945
2026-07-26T13:18:46+08:00,33,0.09666769951581955,0.00871170312166214,0.013729345984756947,0.008897177875041962,0.04456893727183342,0.004058832302689552,0.021275173872709274,0.0008017653599381447,0.000275,2.6597533226013184,4.974133491516113
2026-07-26T13:18:49+08:00,34,0.09844760596752167,0.008814746513962746,0.013888810761272907,0.009019015356898308,0.04541727155447006,0.004101388156414032,0.021527744829654694,0.0008183082100003958,0.00035000000000000005,3.8509604930877686,11.841110229492188
2026-07-26T13:18:51+08:00,35,0.10042213648557663,0.00898517481982708,0.014289885759353638,0.009296339005231857,0.0462920255959034,0.004176657646894455,0.021946659311652184,0.0008325824164785445,0.00042500000000000003,3.087465524673462,7.552011966705322
2026-07-26T13:18:53+08:00,36,0.10286952555179596,0.009128009900450706,0.014716662466526031,0.009513981640338898,0.04740440100431442,0.004265281371772289,0.02226921170949936,0.0008520901319570839,0.0005,3.1306934356689453,5.711201190948486
2026-07-26T13:18:56+08:00,37,0.10180778801441193,0.009094911627471447,0.01451131235808134,0.009450536221265793,0.046911194920539856,0.004220269154757261,0.022220952436327934,0.0008432224276475608,0.00042500000000000003,3.349360942840576,16.11712074279785
2026-07-26T13:18:58+08:00,38,0.09734984487295151,0.008819297887384892,0.013859361410140991,0.009010960347950459,0.044877007603645325,0.004106123466044664,0.021534498780965805,0.0008178865537047386,0.00035000000000000005,3.150115966796875,8.17690658569336
2026-07-26T13:19:01+08:00,39,0.0929320752620697,0.008470668457448483,0.012860001996159554,0.008403804153203964,0.0429249070584774,0.003942124079912901,0.020680604502558708,0.0007886886596679688,0.000275,2.9680821895599365,4.974064826965332
2026-07-26T13:19:03+08:00,40,0.08813543617725372,0.008244738914072514,0.012244348414242268,0.00800829567015171,0.040700700134038925,0.0038235075771808624,0.02014338970184326,0.0007651979685761034,0.0002,2.5605483055114746,7.678534984588623
2026-07-26T13:19:06+08:00,41,0.08705972135066986,0.008119333535432816,0.011926479637622833,0.007802002131938934,0.040209125727415085,0.0037772362120449543,0.019822342321276665,0.0007546765846200287,0.00023750000000000003,2.8819754123687744,6.352078914642334
2026-07-26T13:19:08+08:00,42,0.08741561323404312,0.00819673016667366,0.012109470553696156,0.007899269461631775,0.04036444425582886,0.003803750965744257,0.02002471312880516,0.0007638463866896927,0.000275,2.8952643871307373,9.918133735656738
2026-07-26T13:19:11+08:00,43,0.08801530301570892,0.008254967629909515,0.012115645222365856,0.007909138686954975,0.04067457094788551,0.0038280088920146227,0.020163636654615402,0.0007729999488219619,0.0003125,2.8545358180999756,6.249060153961182
2026-07-26T13:19:13+08:00,44,0.08902321010828018,0.008319109678268433,0.012367836199700832,0.008098343387246132,0.04110458865761757,0.0038648059125989676,0.020315688103437424,0.0007760071312077343,0.00035000000000000005,2.846548318862915,7.098153591156006
2026-07-26T13:19:16+08:00,45,0.08869487047195435,0.008267608471214771,0.012197737582027912,0.007964164018630981,0.04099979251623154,0.0038404555525630713,0.02018457092344761,0.0007787003996782005,0.0003125,3.2999913692474365,8.581685066223145
2026-07-26T13:19:18+08:00,46,0.08569393306970596,0.008061803877353668,0.01173753198236227,0.007645841222256422,0.039546478539705276,0.0037516739685088396,0.019677693024277687,0.0007556610507890582,0.000275,2.8090038299560547,6.014131546020508
2026-07-26T13:19:20+08:00,47,0.08333172649145126,0.007928053848445415,0.01140440534800291,0.007444148883223534,0.03853409364819527,0.0036878830287605524,0.019349031150341034,0.0007475738530047238,0.00023750000000000003,2.991722583770752,10.061624526977539
2026-07-26T13:19:23+08:00,48,0.0813692957162857,0.0077671208418905735,0.011002580635249615,0.007146331015974283,0.037669990211725235,0.0036096107214689255,0.01895788125693798,0.0007316001574508846,0.0002,1.9784740209579468,5.712233066558838
2026-07-26T13:19:25+08:00,49,0.08007607609033585,0.007672660052776337,0.010783301666378975,0.006998042110353708,0.03708465397357941,0.0035738605074584484,0.0187142975628376,0.000725695863366127,0.00021875,2.847618341445923,7.455472469329834
2026-07-26T13:19:28+08:00,50,0.08050957322120667,0.007705188822001219,0.010807754471898079,0.007022852078080177,0.0372919924557209,0.0035888946149498224,0.018795067444443703,0.0007306823972612619,0.00023750000000000003,2.8847975730895996,11.255783081054688
2026-07-26T13:19:30+08:00,51,0.08017082512378693,0.007736705243587494,0.010823911987245083,0.007062137126922607,0.0371132493019104,0.0035905828699469566,0.018890295177698135,0.000729615509044379,0.00025625,2.973675489425659,8.93040943145752
2026-07-26T13:19:33+08:00,52,0.08054856210947037,0.007747200317680836,0.010899453423917294,0.007115587592124939,0.037283122539520264,0.0036004448775202036,0.018907809630036354,0.0007384688942693174,0.000275,2.673360586166382,9.976871490478516
